customer_id,name,gender,age,city,signup_date
88,송춘자,F,28,울산,2023-09-12
89,유종수,F,42,광주,2025-05-05
90,문지원,M,36,울산,2024-09-22
91,한성훈,M,27,인천,2023-10-04
92,김지은,M,31,서울,2025-07-20
93,류준호,F,65,대전,2024-07-16
94,김성진,F,21,고양,2023-11-20
95,이은주,M,50,성남,2025-04-16
96,홍순옥,F,21,성남,2023-09-16
97,주민준,F,29,부산,2024-09-20
98,최성현,F,61,인천,2024-12-04
99,나민석,M,25,고양,2026-01-16
100,김시우,F,55,고양,2025-10-20
101,박정희,F,57,부산,2026-06-11
102,이진호,M,60,고양,2024-12-29
103,장미정,M,34,인천,2024-11-13
104,장순옥,M,33,광주,2026-07-23
105,김승현,M,26,광주,2025-03-15
106,배은정,M,38,부산,2024-11-14
107,전성수,F,47,고양,2024-06-26
108,최재호,F,22,성남,2025-07-27
109,장영일,F,50,광주,2024-04-24
110,이정숙,F,40,부산,2026-03-23
111,류정훈,F,41,광주,2026-06-15
112,송민재,F,46,성남,2023-10-15
113,박준혁,M,57,성남,2023-11-26
114,손영환,F,60,성남,2026-07-21
115,이민재,M,60,부산,2026-07-08
116,권종수,F,34,부산,2024-01-17
117,김지원,F,65,성남,2026-07-21
118,김선영,F,35,광주,2024-02-09
119,송정남,F,63,대전,2025-12-20
120,하춘자,F,61,광주,2026-03-13
121,손영자,M,34,서울,2025-12-03
122,김준호,F,58,울산,2025-07-04
123,김재현,M,20,서울,2025-10-22
124,김시우,M,67,대구,2024-10-21
125,이지후,M,28,수원,2023-12-08
126,김정수,M,53,서울,2024-07-02
127,이영철,F,22,대구,2025-05-11
128,전성훈,F,41,고양,2026-01-28
129,김춘자,F,45,대구,2026-01-15
130,김성현,F,37,대전,2025-04-01
131,곽영자,F,40,인천,2025-11-30
132,배예지,F,60,부산,2024-10-01
133,김성진,M,67,성남,2026-06-25
134,오지현,M,57,대구,2024-02-19
135,박하윤,F,28,대구,2026-02-09
136,김은주,M,19,대구,2024-03-02
137,김선영,M,68,울산,2024-12-25
138,이정훈,F,35,대구,2025-03-15
139,하승현,F,42,서울,2023-12-10
140,권광수,M,32,인천,2025-01-29
141,김진호,M,40,광주,2023-10-06
142,하서연,F,32,서울,2023-09-05
143,김예은,F,43,대전,2024-01-29
144,김정자,M,22,광주,2025-02-28
145,조정호,M,59,성남,2024-01-29
146,김숙자,M,61,성남,2026-01-19
147,이정남,M,19,부산,2025-03-10
148,오도현,M,29,고양,2026-07-12
149,김정자,M,20,부산,2024-11-15
150,조미영,M,40,대전,2025-12-31
